id,link,title,sender,recipient,year,description,place,date,sentLocation,receivedLocation,senderLat,senderLng,receiverLat,receiverLng
pera0203,http://129.7.224.3/omeka-2.6.1/items/show/1781,"Envelope addressed to Sr. [Mr.] Lic. [Licenciado/Esq.] Alonso S. Perales, postmarked 9 July 1948","Trueba U., Isidoro","Perales, Alonso S.",1948,"Envelope addressed to Sr. [Mr.] Lic. [Licenciado/Esq.] Alonso S. Perales from Rte. [Remitente/sender] Isidoro Trueva U. from Mexico City, postmarked 9 July 1948.  ",,7/19/48,"Mexico City, MX","San Antonio, TX",19.4322048,-99.137047,29.426278,-98.487113
pera0204,http://129.7.224.3/omeka-2.6.1/items/show/1782,"Envelope addressed to Mr. Alonso S. Perales, postmarked 11 October 1948","Danciger, Jack","Perales, Alonso S.",1948,"Envelope addressed to Mr. Alonso S. Perales from Jack Danciger from Forth Worth, Texas, postmarked 11 October 1948. Written across the front of the envelope are the words: ""Danciger file"" and ""Personal."" This envelope cannot be definitively matched to any of the letters in the Alonso S. Perales Collection.",,10/11/48,"Fort Worth, TX","San Antonio, TX",32.777728,-97.368051,29.426278,-98.487113
pera0205,http://129.7.224.3/omeka-2.6.1/items/show/1783,"Envelope addressed to Mr. Alonso S. Perales, postmarked 24 February 1949","[Penrose, Neville G.]","Perales, Alonso S.",1949,"Envelope addressed to Mr. Alonso S. Perales from an unknown sender at the Good Neighbor Commission of Texas in Austin, Texas, postmarked 24 February 1949. Written across the front of the envelope are the words ""Mr. Penrosa file."" This note suggests that the letter may have been sent by chairman of the Good Neighbor Commission, Neville G. Penrose.  ",,2/24/49,"Austin, TX","San Antonio, TX",30.2642643,-97.7475016,29.426278,-98.487113
pera0206,http://129.7.224.3/omeka-2.6.1/items/show/1784,"Envelope addressed to Mr. Alonso S. Perales, postmarked 1 May 1949","Leal, Armando","Perales, Alonso S.",1949,"Envelope addressed to Mr. Alonso S. Perales from Armando Leal in Concepcion, Texas, postmarked 1 May 1949.  ",,5/1/49,"Concepcion, TX","San Antonio, TX",27.3955989,-98.3521336,29.42662879,-98.4923065
pera0207,http://129.7.224.3/omeka-2.6.1/items/show/1785,"Envelope addressed to Mr. Alonso S. Perales, postmarked 18 February 1950","Canales, J.T. [Jose Tomas]","Perales, Alonso S.",1950,"Envelope addressed to Mr. Alonso S. Perales from J.T. [Jose Tomas] Canales in Brownsville, Texas, postmarked 18 February 1950. Written across the front of the envelope is ""Canales file"" and the note ""Compadre: Favor de leer esta carta, Perales."" [Friend: Please read this letter, Perales]  ",,2/18/50,"Brownsville, TX","San Antonio, TX",25.904526,-97.504332,29.426278,-98.487113
pera0208,http://129.7.224.3/omeka-2.6.1/items/show/1786,Envelope addressed to Alonso S. Perales,[Unknown],"Perales, Alonso S.",1951,"Envelope addressed to Alonso S. Perales from an unknown sender in St. Louis, Missouri. Envelope is marked as containing merchandise.",,5/5/09,"Saint Louis, MO","San Antonio, TX",38.627631,-90.199087,29.426278,-98.487113
pera0210,http://129.7.224.3/omeka-2.6.1/items/show/1788,"Envelope addressed to Mr. Alonso S. Perales, postmarked 22 February 1951","Contreras, H.H.","Perales, Alonso S.",1951,"Envelope addressed to Mr. Alonso S. Perales from H.H. Contreras in Rio Grande City, Texas, postmarked 22 February 1951. Handwritten on the front of the envelope is ""(First class mail).""  ",,2/22/51,"Rio Grande City, TX","San Antonio, TX",26.378012,-98.817824,29.426278,-98.487113
pera0212,http://129.7.224.3/omeka-2.6.1/items/show/1790,"Envelope addressed to Mr. Alonso S. Perales, postmarked 29 June 1951",[Unknown],"Perales, Alonso S.",1951,"Envelope addressed to Mr. Alonso S. Perales from an unknown sender at the Texas Council on Human Relations at the University of Texas in Austin, Texas, postmarked 29 June 1951.  ",,6/29/51,"Austin, TX","San Antonio, TX",30.2860678,-97.73933709,29.426278,-98.487113
pera0213,http://129.7.224.3/omeka-2.6.1/items/show/1791,"Envelope addressed to Mr. Alonso S. Perales, postmarked 19 December 1951",[Unknown],"Perales, Alonso S.",1951,"Envelope addressed to Mr. Alonso S. Perales from an unknown sender at the Law Offices of Raymond, Algee, Alvarado, Kazen, & Woods in Laredo, Texas, postmarked 19 December 1951.  ",,12/19/51,"Laredo, TX","San Antonio, TX",27.5071208,-99.5069945,29.426278,-98.487113
pera0215,http://129.7.224.3/omeka-2.6.1/items/show/1793,"Envelope addressed to Mr. Alonso S. Perales, postmarked 19 March 1952","Golatka, Walter F.","Perales, Alonso S.",1952,"Envelope addressed to Mr. Alonso S. Perales from Reverend Walter F. Golatka, S.M. at Chaminade College in Clayton 24, Missouri, postmarked 19 March 1952.  ",,3/19/52,"Clayton, MO","San Antonio, TX",38.65023754,-90.40564548,29.44732378,-98.49567741
